Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
1.0,17.0,3.5,8378.5,1.0,1.0,122.0,1.0,19.0,12.0,5.0,9.0,127.3,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,10.8,1.4,1.74,Dropout
1.0,15.0,1.0,9254.0,1.0,1.0,160.0,1.0,1.0,3.0,3.0,3.0,142.5,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,13.9,-0.3,0.79,Graduate
1.0,1.0,3.5,9070.0,1.0,1.0,122.0,1.0,37.0,37.0,9.0,9.0,124.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,7.3999999999999995,0.0,0.0,6.0,0.0,0.0,6.874999999999999,0.0,10.8,1.4,1.74,Dropout
1.0,17.0,2.0,9773.0,1.0,1.0,122.0,1.0,38.0,37.0,5.0,3.0,119.6,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,8.0,6.0,13.428571428571429,0.0,0.0,6.0,10.0,5.0,12.4,0.0,9.4,-0.8,-3.12,Graduate
1.0,39.0,1.0,8378.5,1.0,1.0,102.5,1.0,37.0,38.0,9.0,9.0,141.5,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,6.0,9.0,5.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,13.0,0.0,13.9,-0.3,0.79,Graduate
1.0,39.0,1.0,9991.0,1.0,1.0,133.1,1.0,37.0,37.0,9.0,7.0,114.8,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,5.0,10.0,5.0,11.857142857142858,0.0,0.0,5.0,16.0,5.0,11.5,0.0,16.2,0.3,-0.92,Graduate
1.0,1.0,1.0,9500.0,1.0,1.0,142.0,1.0,19.0,38.0,7.0,10.0,128.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,9.0,7.0,13.3,0.0,0.0,8.0,8.0,8.0,14.345,0.0,15.5,2.8,-4.06,Graduate
1.0,18.0,3.5,9254.0,1.0,1.0,119.0,1.0,37.0,37.0,9.0,9.0,113.1,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,5.0,5.0,0.0,7.3999999999999995,0.0,0.0,5.0,5.0,0.0,6.874999999999999,0.0,15.5,2.8,-4.06,Dropout
1.0,1.0,3.0,9238.0,1.0,1.0,137.0,1.0,1.0,1.0,9.0,9.0,129.3,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,8.0,6.0,13.875,0.0,0.0,6.0,7.0,6.0,14.142857142857142,0.0,16.2,0.3,-0.92,Graduate
1.0,1.0,1.0,9238.0,1.0,1.0,138.0,1.0,1.0,19.0,4.0,7.0,123.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,9.0,5.0,11.4,0.0,0.0,6.0,14.0,2.0,13.5,0.0,8.9,1.4,3.51,Dropout
1.0,1.0,1.0,9670.0,1.0,1.0,139.0,1.0,38.0,19.0,5.0,7.0,130.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,0.79,Graduate
1.0,1.0,1.0,9500.0,1.0,1.0,136.0,1.0,19.0,38.0,9.0,9.0,119.3,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,12.7,3.7,-1.7,Graduate
1.0,1.0,2.0,9853.0,1.0,1.0,133.0,1.0,19.0,37.0,4.0,9.0,130.2,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,0.0,7.3999999999999995,0.0,0.0,6.0,0.0,0.0,6.874999999999999,0.0,12.7,3.7,-1.7,Dropout
1.0,53.0,1.0,9254.0,1.0,1.0,110.0,1.0,1.0,1.0,4.0,7.0,111.8,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,7.0,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,Graduate
1.0,1.0,1.0,9085.0,1.0,1.0,149.0,1.0,38.0,37.0,5.0,5.0,137.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,Graduate
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,19.0,37.0,9.0,3.0,120.7,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,6.874999999999999,0.0,15.5,2.8,-4.06,Dropout
1.0,18.0,1.0,9238.0,1.0,1.0,137.0,1.0,19.0,38.0,5.0,8.0,137.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,10.0,1.0,12.0,0.0,0.0,6.0,14.0,2.0,11.0,0.0,10.8,1.4,1.74,Enrolled
1.0,17.0,2.0,9500.0,1.0,1.0,135.0,1.0,19.0,1.0,5.0,4.0,127.3,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,8.0,7.0,13.30625,0.0,0.0,8.0,8.0,8.0,14.545,0.0,15.5,2.8,-4.06,Graduate
